Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type,Lat,Long,project_water
CA0901217,BEAR STATE WATER WORKS,C,D1,T5,EL DORADO  ,GW,,,Neither 
CA0901222,CHINA FLAT CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901223,CLEVELAND CORRAL REST AREA,NC,D1,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901228,GERLE CREEK CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901229,ICE HOUSE CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901230,LOON LAKE CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901232,RED FIR GROUP CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901239,SAND FLAT CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901243,SILVERFORK CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901244,STUMPY MEADOWS CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901246,PENINSULA RECREATION AREA,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901247,YELLOW JACKET CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901248,WRIGHTS LAKE CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901249,WENCH CREEK CAMPGROUND,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901250,GERLE CREEK SUMMER HOMES,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0901260,CODY WATER ASSOCIATION,NC,NR,T2,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910001,EL DORADO ID - MAIN,C,D5,T5,EL DORADO  ,SW,38.71028493,-120.8639335,Neither 
CA0910002,SOUTH TAHOE PUD - MAIN,C,D4,T2,EL DORADO  ,GW,,,Neither 
CA0910003,"PLACERVILLE, CITY OF - MAIN",C,D3,There are no treatment plants,EL DORADO  ,SWP,38.72972639,-120.791924,CVP
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,C,D2,T2,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910007,LUKINS BROTHERS WATER COMPANY,C,D2,T2,EL DORADO  ,GW,,,Neither 
CA0910012,TAHOE CITY PUD - RUBICON,C,D1,TD,EL DORADO  ,GW,,,Neither 
CA0910013,GEORGETOWN DIVIDE PUD,C,D3,T3,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910015,TAHOE KEYS WATER COMPANY,C,D2,T2,EL DORADO  ,GW,,,Neither 
CA0910017,EL DORADO ID - STRAWBERRY,C,D1,T2,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910018,EL DORADO ID - OUTINGDALE,C,D1,T3,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910019,LAKESIDE PARK ASSOCIATION,C,D1,T2,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910024,TAHOE CITY PUD - GLENRIDGE,NC,NR,There are no treatment plants,EL DORADO  ,GW,,,Neither 
CA0910300,FOLSOM LAKE SRA - PENINSULA CAMPGROUND,NC,NR,TD,EL DORADO  ,GW,,,Neither 
CA0910301,CA STATE PARKS - D.L. BLISS,NC,D2,T2,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910302,"CA STATE PARKS - EMERALD BAY, VIKINGSHOL",NC,NR,T2,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910303,"CA STATE PARKS - EMERALD BAY, EAGLE POIN",NC,NR,T2,EL DORADO  ,SW,n/a,n/a,Neither 
CA0910305,"CA STATE PARKS - EMERALD BAY, BOAT CAMPG",NC,NR,T2,EL DORADO  ,SW,n/a,n/a,Neither 
CA0990001,EL DORADO IRRIGATION DISTRICT - SERRANO,NP,,There are no treatment plants,EL DORADO  ,,n/a,n/a,Neither 
CA0990002,SOUTH TAHOE PUBLIC UTILITY DISTRICT - RE,NP,,There are no treatment plants,EL DORADO  ,,n/a,n/a,Neither 
CA0990003,EL DORADO IRRIGAITON DISTRICT-CREEKSIDE,NP,,There are no treatment plants,EL DORADO  ,,n/a,n/a,Neither 
CA0990004,EID - RECYCLED WATER (MAIN),NP,,There are no treatment plants,EL DORADO  ,,n/a,n/a,Neither 
CA0990005,CITY OF PLACERVILLE (RECLAMATION),NP,,There are no treatment plants,EL DORADO  ,,n/a,n/a,Neither 
,,,,,,,,,
CA1100101,CARRIERE FAMILY FARMS,NTNC,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100103,ORLAND LDS CHURCH,NC,D1,TD,GLENN  ,GW,,,Neither 
CA1100104,WILLOW CREEK CHRISTIAN SCHOOL,NTNC,D1,T1,GLENN  ,GW,,,Neither 
CA1100203,ARTOIS COMMUNITY S.D.,C,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100221,GLENN GOLF & COUNTRY CLUB,NC,NR,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100229,THUNDERHILL RACEWAY,NC,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100232,JOHNS MANVILLE,NTNC,D1,TD,GLENN  ,GW,,,Neither 
CA1100237,WILLOWS MOBILE HOME COMMUNITY & RV PARK,C,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100250,SACRAMENTO NAT. WILDLIFE REFUGE,NC,NR,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100254,SEGURA'S RV PARK LLC,C,D1,TD,GLENN  ,GW,,,Neither 
CA1100257,CALTRANS-WILLOWS RESTSTOP-NB,NC,D1,TD,GLENN  ,GW,,,Neither 
CA1100258,CALTRANS-WILLOWS RESTSTOP-SB,NC,D1,TD,GLENN  ,GW,,,Neither 
CA1100404,DEL ORO WC - BLACK BUTTE DISTRICT,C,D1,TD,GLENN  ,GW,,,Neither 
CA1100413,COUNTRY LEISURE MOBILE ESTATES,C,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100439,"PARKWAY RV RESORT, THE",NC,NR,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100440,LAKE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100443,"ORLAND LIVESTOCK COMM. YARD, INC.",NC,NR,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100444,ORLAND ESTATES MOBILE H.P.,C,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100445,ORLAND MOBILE H.P.,C,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100448,PLAZA ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100452,"PALISADES, THE",C,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100527,CAPAY JOINT UNION ELEM. SCHOOL,NTNC,D1,TD,GLENN  ,GW,,,Neither 
CA1100616,ELK CREEK COMMUNITY S.D.,C,D1,T3,GLENN  ,SW,39.59853328,-122.5409161,CVP
CA1100642,"BLACK BUTTE LK, ORLAND BUTTES CAMPGROUND",NC,NR,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1100711,BUTTE CITY COMMUNITY S.D.,C,D1,TD,GLENN  ,GW,,,Neither 
CA1100749,RIVER VALLEY CHRISTIAN SCHOOL,NTNC,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1105003,"CITY OF ORLAND, HAIGH FIELD PARK",NTNC,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1105005,OLIVAREZ HONEY BEES,NTNC,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1105006,CALIFORNIA OLIVE RANCH,NTNC,NR,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1105007,"FARMERS BREWING CO.,LLC",NC,D1,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1110001,CITY OF ORLAND,C,D2,TD,GLENN  ,GW,,,Neither 
CA1110002,CAL-WATER SERVICE CO.-HAMILTON CITY,C,D2,TD,GLENN  ,GW,,,Neither 
CA1110003,CAL-WATER SERVICE CO.-WILLOWS,C,D2,T2,GLENN  ,GW,,,Neither 
CA1110300,IRVINE FINCH RIVER ACCESS,NC,NR,There are no treatment plants,GLENN  ,GW,,,Neither 
CA1110800,CAL FIRE - VALLEY VIEW C.C,NTNC,D1,TD,GLENN  ,GW,,,Neither 
,,,,,,,,,
CA5400504,PORTERVILLE MOBILE VILLAGE,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400505,HARTLAND CHRISTIAN CAMP,C,NR,TD,TULARE  ,GW,,,Neither 
CA5400506,NORTH KAWEAH MUTUAL WATER COMPANY,C,D1,T3,TULARE  ,GU,,,Neither 
CA5400509,PANORAMA HEIGHTS PROP OWNERS,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400511,POSO PARK ASSN,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400513,CALIFORNIA HOT SPRINGS WATER COMPANY,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400519,PALO VERDE UNION ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400526,"WESPAK, INC.",NTNC,D1,T2,TULARE  ,GW,,,Neither 
CA5400529,"SHADY GROVE  MOBILE HOME PARK, LLC",C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400536,KINGS RIVER ESTATES MUTUAL WATER COMPANY,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400537,LINDY'S LANDING,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400538,ACCELERATED CHARTER HIGH SCHOOL,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400541,PORTERVILLE CITRUS RAYO,NTNC,D1,T1,TULARE  ,GW,,,Neither 
CA5400542,DUCOR CSD,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400543,SUGARLOAF VILLAGE MUTUAL WATER COMPANY,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400544,ALLENSWORTH CSD,C,D1,T1,TULARE  ,GW,,,Neither 
CA5400548,KINGS INN MOTEL,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5400549,"KINGS RIVER RV RESORT, LLC",NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400550,SEVILLE WATER COMPANY,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400552,STONY CREEK LODGE,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400553,DEL ORO TRAVER DISTRICT,C,D1,T2,TULARE  ,GW,,,Neither 
CA5400556,RIVER RETREAT MUTUAL WATER COMPANY,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400558,SAUCELITO ELEMENTARY SCHOOL,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400567,TOOLEVILLE MUTUAL NON PROFIT WATER ASSN,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400581,SPEAR CREEK CABIN OWNERS ASSOC,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400583,CUTLER PARK,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400598,MCNALLY'S FAIRVIEW LODGE,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400602,EAGLE'S NEST RESORT,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400604,MOUNTAIN VIEW DUPLEXES,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400616,LEMON COVE WATER COMPANY,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400620,GRAND VIEW SCHOOL,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400623,WESTERN HOLIDAY LODGE,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400624,KINGS RIVER ELEMENTARY SCHOOL,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400629,SEQUOIA RV RANCH,NC,NR,TD,TULARE  ,GW,,,Neither 
CA5400631,LINNELL FARM LABOR CENTER,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400637,BUCKEYE TREE LODGE,NC,D1,T2,TULARE  ,SW,n/a,n/a,Neither 
CA5400641,TEVISTON COMMUNITY SERVICES DISTRICT,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400644,SEQUOIA VILLAGE INN,NC,D1,T2,TULARE  ,SW,n/a,n/a,Neither 
CA5400647,YOKOHL MUTUAL WATER CO,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400660,LAKE SUCCESS MOBILE LODGE,C,D1,T2,TULARE  ,GW,,,Neither 
CA5400665,DEL ORO RIVER ISLAND SERV TERR #1,C,D2,T3,TULARE  ,SW,n/a,n/a,Neither 
CA5400670,TRIPLE R MUTUAL WATER CO,C,D1,T2,TULARE  ,GW,,,Neither 
CA5400679,99 PALMS INN AND SUITES,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400682,PLAINVIEW MWC - CENTRAL WATER,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400696,USACE - TULE RECREATION AREA,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5400701,SEQUOIA CREST MUTUAL WATER COMPANY,NC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400703,QUAIL VALLEY RECREATIONAL VILLAGE,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400704,THREE RIVERS ELEMENTARY SCHOOL,NTNC,D1,T2,TULARE  ,GW,,,Neither 
CA5400708,ALPINE VILLAGE WATER COMPANY,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400709,SEQUOIA UNION ELEMENTARY SCHOOL,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400710,BADGER HILL ESTATES,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400711,SIERRA VIEW JR ACADEMY,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400713,OAK VALLEY SCHOOL,NTNC,D1,T2,TULARE  ,GW,,,Neither 
CA5400714,SUNDALE UNION SCHOOL,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400718,WILLIAMS MUTUAL  WATER COMPANY,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400722,SUGARLOAF MUTUAL WATER COMPANY,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400724,PANORAMA PARK FIRE PRO CO,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400728,GRIER MUTUAL WATER COMPANY,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400732,PIERPOINT SPRINGS WATER CO.,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400736,RMRC-LOWER COFFEE CAMP DAY USE,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400737,ST ANTHONY RETREAT CENTER,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5400738,RMRC-WISHON CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400743,SEQUOIA MOTEL,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400744,EAST THREE RIVERS MUTUAL WATER CORP,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400747,SIERRA LODGE/TRANQUILITY HOSPITALITY LLC,NC,NR,T2,TULARE  ,SW,n/a,n/a,Neither 
CA5400749,GATEWAY RESTAURANT & LODGE,NC,D1,T2,TULARE  ,SW,n/a,n/a,Neither 
CA5400750,AUTOCAMP SEQUOIA,NC,NR,T2,TULARE  ,GW,,,Neither 
CA5400751,THREE RIVERS HIDEAWAY,NC,NR,TD,TULARE  ,GW,,,Neither 
CA5400754,SOUTH KAWEAH MUTUAL WATER COMPANY,C,D1,T1,TULARE  ,GW,,,Neither 
CA5400755,USACE-KAWEAH RECREATION AREA,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5400756,LAZY J RANCH MOTEL,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400757,USACE-HORSE CREEK CAMPGROUND,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5400760,RMRC-BELKNAP CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400765,USFS-PEPPERMINT WORK CENTER,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400766,RMRC-QUAKING ASPEN CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400767,PORTERVILLE - EAST PLANO,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400769,FOOTHILL APARTMENTS,C,D1,T2,TULARE  ,GW,,,Neither 
CA5400778,SCICON,NC,NR,T2,TULARE  ,GW,,,Neither 
CA5400783,USFS-LOWER PEPPERMINT,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400792,WOODVILLE FARM LABOR CENTER,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400795,WAUKENA ELEMENTARY SCHOOL,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400797,TULARE CO CORRECTIONAL CENTER ROAD CAMP,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400810,AKAL TRAVEL PLAZA,NC,D1,T2,TULARE  ,GW,,,Neither 
CA5400816,BEDEL MUTUAL WATER COMPANY,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400819,MOUNTAIN VIEW MHP,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400823,BALCH PARK,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400824,SULTANA COMMUNITY SERVICES DISTRICT,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400826,USFS-FISH CREEK CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400838,THREE RIVERS VILLAGE,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400846,ELBOW SCHOOL,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400848,RMRC-HEADQUARTERS CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400850,PACKWOOD SCHOOL,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400863,RMRC-CAMP 3 CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400868,RMRC-FAIRVIEW CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400875,VILLAGE APARTMENTS,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400880,THE LAKES ASSOCIATION,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400881,SUNRISE MUTUAL WATER CO.,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400882,PLEASANT VIEW  WEST SCHOOL,NTNC,D1,T2,TULARE  ,GW,,,Neither 
CA5400884,ROCKFORD SCHOOL,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400886,COLUMBINE SCHOOL,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400887,PARK INVESTMENTS WATER SYSTEM,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5400889,RMRC-STONY CREEK CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400890,RMRC-FIR & COVE GROUP CAMPGROUNDS,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400894,CAMP SAN JOAQUIN,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400896,FAR HORIZONS CAMP,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400898,MONTECITO SEQUOIA LODGE,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400903,TRACT 92  COMMUNITY SERVICES DISTRICT,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400916,SIERRA MASONIC  WATER CO,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400917,SHOP N GO,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5400919,BUENA VISTA ELEMENTARY SCHOOL,NTNC,D1,T2,TULARE  ,GW,,,Neither 
CA5400921,CEDAR SLOPE MUTUAL WATER COMPANY,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400922,BARTLETT PARK,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5400928,VISALIA SALES YARD,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5400929,RIVERLAND RESORT,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400934,PONDEROSA CSD,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400935,CWS - MULLEN WATER COMPANY,C,D1,T2,TULARE  ,GW,,,Neither 
CA5400940,SIERRA KING HOMEOWNERS ASSN,C,D1,TD,TULARE  ,GW,,,Neither 
CA5400942,RMRC-REDWOOD MEADOW CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400945,RMRC-COY FLAT CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400951,MOONEY GROVE PARK,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400959,RM PYLES BOYS CAMP,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400961,SEQUOIA MEADOW CHRISTIAN CAMP,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400964,SIERRA VISTA ASSOCIATION,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400968,IMPROVEMENT DISTRICT NO. 1,C,D1,T3,TULARE  ,SW,,,Neither 
CA5400969,POLYMERPAK,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400972,OUTSIDE CREEK SCHOOL,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400984,SUCCESS MARKET,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400985,BOB'S TINY MART,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5400987,COWPUNCHERS FOUNTAIN SPRINGS,NC,D1,T2,TULARE  ,GW,,,Neither 
CA5400994,HOPE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401001,SEQUOIA CIDER MILL RESTAURANT,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401003,EAST OROSI COMMUNITY SERVICES DISTRICT,C,D1,TD,TULARE  ,GW,,,Neither 
CA5401006,UC DAVIS-SCHOOL OF VET. MED. CENTER,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5401010,BSA-CAMP WHITSETT,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401022,"THREE RIVERS GOLF & SPIRITS, INC.",NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401026,DEER MEADOW MUTUAL WATER COMPANY,C,D1,TD,TULARE  ,GW,,,Neither 
CA5401033,HORIZON NUT LLC,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5401039,TULARE COUNTY CIVIC CENTER,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5401044,CALTRANS VISALIA MAINTENANCE STATION,NTNC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401045,CALTRANS PHILLIP S. RAINE SFTY RSRA NB,NC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401047,CALTRANS PHILLIP S. RAINE SFTY RSRA SB,NC,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401048,KINGS RIVER GOLF COURSE,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401049,CAMP WILDERNESS,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401063,THARP REAL PROPERTIES,NC,NR,T1,TULARE  ,GW,,,Neither 
CA5401071,SILVER CITY WATER CO.,NC,D1,T2,TULARE  ,SW,n/a,n/a,Neither 
CA5401074,BOB WILEY DETENTION FACILITY,NTNC,D2,TD,TULARE  ,GW,,,Neither 
CA5401082,"VENTURA COASTAL, LLC - VISALIA DIVISION",NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5401084,BAKER MOUNTAIN HOUSE,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401089,RMRC-ESHOM CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401093,DOYLE SPRINGS ASSOCIATION,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401094,RJ'S TRAVEL CENTER,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5401099,SIERRA CHRISTIAN CAMP,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402013,SUN PACIFIC SHIPPERS LP - EXETER,NTNC,D1,T2,TULARE  ,GW,,,Neither 
CA5402016,RMRC-HOSPITAL FLAT CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402017,RMRC-GOLDLEDGE CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402019,BRENDA EXPREES,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402022,BRAVO FARMS TRAVER,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402024,KINGS RIVER MARKET,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402026,USFS-TROY MEADOW CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402027,TULARE COUNTY ROAD YARD 2/3,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5402030,WAUKENA MARKET,NC,D1,T2,TULARE  ,GW,,,Neither 
CA5402031,PREET MARKET,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402036,R-RANCH IN THE SEQUOIAS,C,D1,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402037,THREE RIVERS LIBRARY,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402038,PATTERSON TRACT CSD,C,D1,TD,TULARE  ,GW,,,Neither 
CA5402041,BIG B'S TRAVEL CENTER #2,NC,NR,T2,TULARE  ,GW,,,Neither 
CA5402046,"MCWANE PLANT AND INDUSTRIAL, LLC",NTNC,D1,T2,TULARE  ,GW,,,Neither 
CA5402047,GLEANINGS FOR THE HUNGRY,C,D1,T2,TULARE  ,GW,,,Neither 
CA5402048,DEL ORO RIVER ISLAND SERV TERR #2,C,D1,T2,TULARE  ,GW,,,Neither 
CA5402050,MILK SPECIALTIES GLOBAL,NTNC,D1,TD,TULARE  ,GW,,,Neither 
CA5402056,PEOPLE'S FOOD AND DELI INC.,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5402057,DEER CREEK RV PARK,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5403001,LOWER SPRINGS WATER CO,NC,D1,TD,TULARE  ,GW,,,Neither 
CA5403007,"E.M. THARP, INC.",NTNC,D1,T1,TULARE  ,GW,,,Neither 
CA5403011,USA PETRO SUPER STOP,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5403020,USFS-HORSE MEADOW CAMPGROUND,NC,NR,There are no treatment plants,TULARE  ,GW,,,Neither 
CA5403022,APTCO LLC,NTNC,D1,T2,TULARE  ,GW,,,Neither 
CA5403023,DELFT COLONY WATER,C,D1,TD,TULARE  ,GW,,,Neither 
CA5403031,SUN PACIFIC - TULARE,NTNC,D1,TD,TULARE  ,GW,,,Neither 
